timestamp,sample_ms,batt_current_mA,batt_voltage_V,batt_charge_uAh,batt_soc_pct,batt_temp_C,cpu_temp_C,display_on,display_brightness_lin,core0_idle_ms,core1_idle_ms,core2_idle_ms,core3_idle_ms,core4_idle_ms,core5_idle_ms,core6_idle_ms,core7_idle_ms,cluster0_300000_ms,cluster0_576000_ms,cluster0_768000_ms,cluster0_1017600_ms,cluster0_1248000_ms,cluster0_1324800_ms,cluster0_1497600_ms,cluster0_1612800_ms,cluster0_1708800_ms,cluster0_1804800_ms,cluster1_300000_ms,cluster1_652800_ms,cluster1_806400_ms,cluster1_979200_ms,cluster1_1094400_ms,cluster1_1209600_ms,cluster1_1324800_ms,cluster1_1555200_ms,cluster1_1708800_ms,cluster1_1843200_ms,cluster1_1939200_ms,cluster1_2169600_ms,cluster1_2208000_ms,cluster1_2304000_ms,brightness_pct,cpu_load_pct
2025-05-25 23:29:52,2000,1004.029,4.308,4385880,95,30.3,82.2,1,0.047,500,497,496,505,529,573,493,493,0,480,0,0,20,0,0,20,0,1500,0,500,0,0,0,0,20,10,0,10,0,10,0,1470,,
2025-05-26 01:52:41,2000,1301.575,3.892,2782440,58,34.5,77.1,1,0.217,996,990,994,1018,1047,1041,993,984,0,800,140,0,80,0,0,0,0,1000,0,860,10,0,0,0,20,0,0,0,0,20,0,1110,,
2025-05-25 23:19:13,2000,892.639,4.236,4480200,97,30.3,82.9,1,4e-05,3,12,1,24,2,2,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,10,0,0,0,40,0,1980,,
2025-05-26 01:16:02,2000,1081.238,3.886,3112560,65,39.7,74.8,1,1.0,1,2,2,10,2,1,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,,
2025-05-26 02:16:38,2000,1351.319,3.745,2452320,50,38.7,66.5,1,1.0,963,986,998,997,1049,1040,983,994,0,900,0,0,20,100,0,20,0,990,0,920,0,0,0,20,0,10,0,0,1080,0,0,0,,
2025-05-25 23:45:47,2000,436.096,4.154,4197240,90,34.5,38.2,1,0.531,2000,2000,2000,2000,0,0,1933,2000,0,2040,0,0,20,0,0,20,0,0,0,2050,0,20,0,0,0,0,0,0,0,0,0,0,,
2025-05-26 00:46:09,2000,1245.423,4.071,3537000,75,33.8,78.4,1,0.217,971,1007,987,1012,1045,1039,986,986,0,870,100,0,20,0,0,20,0,1010,0,890,10,0,0,0,20,0,0,0,0,0,0,1100,,
2025-05-26 02:22:47,2000,1263.428,3.734,2358000,48,40.6,77.1,1,1.0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2050,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,,
2025-05-25 23:46:06,2000,402.527,4.227,4197240,90,34.5,37.9,1,0.531,2000,2000,2000,2000,0,0,2000,2000,0,2040,0,0,20,0,0,20,0,0,0,2060,0,20,0,0,0,0,0,0,0,0,0,0,,
2025-05-26 00:44:42,2000,271.606,4.009,3584160,76,35.0,42.4,1,0.217,1533,1549,1517,1537,672,672,1637,2000,0,1390,140,0,60,0,0,10,0,480,0,1380,0,30,0,0,160,10,0,0,0,0,0,490,,
2025-05-26 00:33:34,2000,1086.121,4.125,3678480,78,32.2,73.2,1,0.047,986,1000,992,998,1060,1047,982,992,0,940,50,0,20,0,0,20,0,990,0,940,0,0,0,0,20,20,0,20,0,10,0,1010,,
2025-05-25 23:52:14,2000,877.686,4.121,4150080,88,34.0,73.9,1,0.531,492,500,496,513,575,528,487,477,0,400,0,0,120,0,0,20,0,1480,0,420,0,0,0,0,20,100,0,0,10,20,0,1450,,
2025-05-25 23:09:16,2000,154.113,4.394,4574520,100,28.6,31.4,1,4e-05,2000,2000,2000,2000,0,0,0,2000,0,1990,0,0,60,10,0,20,0,0,0,2060,20,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-26 01:05:34,2000,545.044,3.942,3301200,69,38.5,41.1,1,1.0,2000,2000,2000,2000,0,0,1928,1757,0,2030,0,0,0,0,20,0,0,0,0,2020,20,20,0,0,0,0,0,0,0,0,0,0,,
2025-05-26 02:05:29,2000,447.388,3.75,2640960,54,37.1,54.3,1,0.531,1043,1050,1022,1039,1116,1135,1081,743,0,1010,20,0,20,0,0,40,0,980,0,1000,0,20,20,0,20,30,0,0,0,0,0,970,,
2025-05-26 02:09:25,2000,1086.731,3.771,2546640,52,38.8,76.1,1,0.531,1,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,,
2025-05-25 23:37:13,2000,279.846,4.27,4291560,93,31.8,40.4,1,0.217,1511,1501,1493,1551,1491,1490,1694,1478,0,1400,40,0,80,0,0,60,0,500,0,1490,30,10,0,20,50,0,0,0,0,0,0,490,,
2025-05-26 01:03:41,2000,1115.418,3.926,3301200,70,37.5,82.5,1,0.531,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,,
