train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.5,40,cpu,1,1139.51,27.0
RedmiNote9,RedmiNote10ProBlue,0.5,40,cpu,1,1219.63,21.3
RedmiNote9,RedmiNote10ProPink,0.5,40,cpu,1,1075.65,19.54
RedmiNote9,RedmiNote9,0.5,50,cpu,1,1140.11,27.02
RedmiNote9,RedmiNote10ProBlue,0.5,50,cpu,1,1226.83,21.46
RedmiNote9,RedmiNote10ProPink,0.5,50,cpu,1,1083.68,19.71
RedmiNote9,RedmiNote9,0.6,10,cpu,1,1143.85,26.86
RedmiNote9,RedmiNote10ProBlue,0.6,10,cpu,1,1200.41,20.74
RedmiNote9,RedmiNote10ProPink,0.6,10,cpu,1,1050.88,19.02
RedmiNote9,RedmiNote9,0.6,20,cpu,1,1138.72,26.88
RedmiNote9,RedmiNote10ProBlue,0.6,20,cpu,1,1225.91,21.27
RedmiNote9,RedmiNote10ProPink,0.6,20,cpu,1,1081.24,19.53
RedmiNote9,RedmiNote9,0.6,30,cpu,1,1139.49,26.79
RedmiNote9,RedmiNote10ProBlue,0.6,30,cpu,1,1232.59,21.35
RedmiNote9,RedmiNote10ProPink,0.6,30,cpu,1,1086.99,19.64
RedmiNote9,RedmiNote9,0.6,40,cpu,1,1138.88,26.92
RedmiNote9,RedmiNote10ProBlue,0.6,40,cpu,1,1223.47,21.26
RedmiNote9,RedmiNote10ProPink,0.6,40,cpu,1,1079.4,19.51
RedmiNote9,RedmiNote9,0.6,50,cpu,1,1137.28,26.99
RedmiNote9,RedmiNote10ProBlue,0.6,50,cpu,1,1217.71,21.21
RedmiNote9,RedmiNote10ProPink,0.6,50,cpu,1,1077.4,19.46
RedmiNote9,RedmiNote9,0.7,10,cpu,1,1141.79,26.86
RedmiNote9,RedmiNote10ProBlue,0.7,10,cpu,1,1219.76,21.1
RedmiNote9,RedmiNote10ProPink,0.7,10,cpu,1,1071.99,19.43
RedmiNote9,RedmiNote9,0.7,20,cpu,1,1139.22,27.28
RedmiNote9,RedmiNote10ProBlue,0.7,20,cpu,1,1224.56,21.43
RedmiNote9,RedmiNote10ProPink,0.7,20,cpu,1,1084.43,19.75
RedmiNote9,RedmiNote9,0.7,30,cpu,1,1138.84,27.16
RedmiNote9,RedmiNote10ProBlue,0.7,30,cpu,1,1223.68,21.35
RedmiNote9,RedmiNote10ProPink,0.7,30,cpu,1,1082.69,19.66
RedmiNote9,RedmiNote9,0.7,40,cpu,1,1137.85,27.12
RedmiNote9,RedmiNote10ProBlue,0.7,40,cpu,1,1218.86,21.27
RedmiNote9,RedmiNote10ProPink,0.7,40,cpu,1,1079.15,19.56
RedmiNote9,RedmiNote9,0.7,50,cpu,1,1138.54,27.24
RedmiNote9,RedmiNote10ProBlue,0.7,50,cpu,1,1212.36,21.21
RedmiNote9,RedmiNote10ProPink,0.7,50,cpu,1,1072.75,19.5
RedmiNote9,RedmiNote9,0.8,10,cpu,1,1140.64,27.0
RedmiNote9,RedmiNote10ProBlue,0.8,10,cpu,1,1225.8,21.19
RedmiNote9,RedmiNote10ProPink,0.8,10,cpu,1,1078.57,19.55
RedmiNote9,RedmiNote9,0.8,20,cpu,1,1138.33,27.28
RedmiNote9,RedmiNote10ProBlue,0.8,20,cpu,1,1219.84,21.24
RedmiNote9,RedmiNote10ProPink,0.8,20,cpu,1,1078.19,19.54
RedmiNote9,RedmiNote9,0.8,30,cpu,1,1138.84,27.21
RedmiNote9,RedmiNote10ProBlue,0.8,30,cpu,1,1233.33,21.44
RedmiNote9,RedmiNote10ProPink,0.8,30,cpu,1,1090.71,19.77
RedmiNote9,RedmiNote9,0.8,40,cpu,1,1139.9,27.13
RedmiNote9,RedmiNote10ProBlue,0.8,40,cpu,1,1238.16,21.49
RedmiNote9,RedmiNote10ProPink,0.8,40,cpu,1,1093.77,19.85
RedmiNote9,RedmiNote9,0.8,50,cpu,1,1139.3,27.09
RedmiNote9,RedmiNote10ProBlue,0.8,50,cpu,1,1229.66,21.31
RedmiNote9,RedmiNote10ProPink,0.8,50,cpu,1,1084.92,19.65
