train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,20,none,1,683.92,13.41
RedmiNote10ProBlue,RedmiNote9,0.5,30,none,1,1148.15,26.52
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,30,none,1,535.39,11.04
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,30,none,1,675.26,13.29
RedmiNote10ProBlue,RedmiNote9,0.5,40,none,1,1150.85,26.65
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,40,none,1,532.07,11.04
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,40,none,1,676.68,13.3
RedmiNote10ProBlue,RedmiNote9,0.5,50,none,1,1156.04,27.02
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,50,none,1,536.85,11.18
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,50,none,1,680.09,13.38
RedmiNote10ProBlue,RedmiNote9,0.6,10,none,1,1163.3,27.57
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,10,none,1,540.94,11.37
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,10,none,1,685.14,13.52
RedmiNote10ProBlue,RedmiNote9,0.6,20,none,1,1160.52,26.63
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,20,none,1,529.93,10.93
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,20,none,1,673.02,13.18
RedmiNote10ProBlue,RedmiNote9,0.6,30,none,1,1168.94,26.54
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,30,none,1,523.25,10.76
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,30,none,1,676.83,13.17
RedmiNote10ProBlue,RedmiNote9,0.6,40,none,1,1162.46,26.51
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,40,none,1,516.87,10.7
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,40,none,1,669.77,13.09
RedmiNote10ProBlue,RedmiNote9,0.6,50,none,1,1152.19,26.17
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,50,none,1,506.87,10.5
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,50,none,1,659.28,12.92
RedmiNote10ProBlue,RedmiNote9,0.7,10,none,1,1154.59,26.91
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,10,none,1,538.73,11.2
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,10,none,1,680.71,13.41
RedmiNote10ProBlue,RedmiNote9,0.7,20,none,1,1158.16,26.33
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,20,none,1,527.97,10.86
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,20,none,1,676.72,13.22
RedmiNote10ProBlue,RedmiNote9,0.7,30,none,1,1165.31,26.42
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,30,none,1,520.38,10.77
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,30,none,1,685.08,13.32
RedmiNote10ProBlue,RedmiNote9,0.7,40,none,1,1166.61,26.49
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,40,none,1,520.26,10.78
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,40,none,1,675.51,13.17
RedmiNote10ProBlue,RedmiNote9,0.7,50,none,1,1150.33,26.07
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,50,none,1,507.55,10.51
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,50,none,1,662.34,12.97
