train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct,source_file
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,50,cpu,1,803.12,22.15,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,10,cpu,1,1385.08,42.93,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,10,cpu,1,919.84,23.53,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,10,cpu,1,775.71,20.15,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,20,cpu,1,1396.77,44.24,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,20,cpu,1,910.85,24.16,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,20,cpu,1,786.23,21.09,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,30,cpu,1,1423.23,46.51,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,30,cpu,1,899.69,25.17,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,30,cpu,1,811.24,22.71,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,40,cpu,1,1425.78,46.98,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,40,cpu,1,896.46,25.33,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,40,cpu,1,819.36,23.11,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,50,cpu,1,1408.64,45.43,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,50,cpu,1,904.52,24.7,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,50,cpu,1,798.75,21.96,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,10,cpu,1,1357.78,41.25,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,10,cpu,1,874.2,22.41,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,10,cpu,1,770.41,20.02,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,20,cpu,1,1380.27,43.49,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,20,cpu,1,861.63,23.35,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,20,cpu,1,796.38,21.65,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,30,cpu,1,1358.73,41.5,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,30,cpu,1,871.3,22.44,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,30,cpu,1,773.16,20.19,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,40,cpu,1,1383.3,43.56,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,40,cpu,1,862.52,23.43,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,40,cpu,1,795.94,21.67,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,50,cpu,1,1379.01,43.61,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,50,cpu,1,858.95,23.14,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,50,cpu,1,801.51,21.71,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.6,10,cpu,1,1377.34,42.8,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,10,cpu,1,866.42,23.06,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,10,cpu,1,784.36,21.01,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.6,20,cpu,1,1408.41,45.06,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,20,cpu,1,855.04,23.75,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,20,cpu,1,813.37,22.47,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.6,30,cpu,1,1400.87,44.64,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,30,cpu,1,856.96,23.7,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,30,cpu,1,807.25,22.24,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.6,40,cpu,1,1413.92,45.32,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,40,cpu,1,853.44,23.81,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,40,cpu,1,816.44,22.6,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.6,50,cpu,1,1401.24,44.79,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,50,cpu,1,855.41,23.68,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,50,cpu,1,811.17,22.36,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.7,10,cpu,1,1382.65,43.52,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,10,cpu,1,864.34,23.49,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,10,cpu,1,796.12,21.68,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.7,20,cpu,1,1407.24,45.08,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,20,cpu,1,858.09,24.08,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,20,cpu,1,815.49,22.68,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.7,30,cpu,1,1402.57,44.81,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,30,cpu,1,856.13,23.79,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,30,cpu,1,812.62,22.44,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.7,40,cpu,1,1420.64,45.34,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,40,cpu,1,852.82,23.74,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,40,cpu,1,816.1,22.5,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.7,50,cpu,1,1435.01,45.86,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,50,cpu,1,844.37,23.55,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,50,cpu,1,825.71,22.67,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.8,10,cpu,1,1383.71,43.54,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,10,cpu,1,862.95,23.47,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,10,cpu,1,795.47,21.67,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.8,20,cpu,1,1398.56,44.53,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,20,cpu,1,854.27,23.52,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,20,cpu,1,809.18,22.2,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.8,30,cpu,1,1386.57,43.92,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,30,cpu,1,857.76,23.38,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,30,cpu,1,801.9,21.87,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.8,40,cpu,1,1418.4,45.25,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,40,cpu,1,846.81,23.5,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,40,cpu,1,817.38,22.43,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.8,50,cpu,1,1412.39,44.89,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,50,cpu,1,851.04,23.5,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,50,cpu,1,809.78,22.2,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote9,RedmiNote9,0.1,10,none,0,1311.38,30.83,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.1,10,none,0,1033.39,17.71,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.1,10,none,0,842.56,15.23,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.1,20,none,0,1179.22,29.09,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.1,20,none,0,818.09,15.15,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.1,20,none,0,704.79,13.83,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.1,30,none,0,1084.24,26.09,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.1,30,none,0,742.63,13.96,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.1,30,none,0,682.34,13.64,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.1,40,none,0,1004.32,23.6,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.1,40,none,0,727.64,13.93,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.1,40,none,0,692.26,14.18,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.1,50,none,0,951.46,22.18,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.1,50,none,0,747.75,14.61,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.1,50,none,0,716.58,15.01,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.2,10,none,0,1205.38,31.11,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.2,10,none,0,823.9,16.02,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.2,10,none,0,715.79,14.64,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.2,20,none,0,1032.25,25.69,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.2,20,none,0,724.73,14.23,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.2,20,none,0,699.67,14.39,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.2,30,none,0,934.98,22.1,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.2,30,none,0,744.92,14.73,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.2,30,none,0,722.24,15.16,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.2,40,none,0,898.3,21.57,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.2,40,none,0,777.35,15.39,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.2,40,none,0,718.85,15.34,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.2,50,none,0,879.96,21.43,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.2,50,none,0,811.81,15.85,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.2,50,none,0,715.35,15.29,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.3,10,none,0,1132.57,29.21,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.3,10,none,0,752.48,14.81,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.3,10,none,0,694.15,14.34,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.3,20,none,0,949.69,22.22,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.3,20,none,0,743.66,14.54,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.3,20,none,0,728.41,15.11,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.3,30,none,0,898.04,21.19,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.3,30,none,0,785.13,15.27,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.3,30,none,0,721.65,15.27,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.3,40,none,0,898.83,21.29,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.3,40,none,0,788.78,15.34,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.3,40,none,0,730.46,15.4,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.3,50,none,0,860.79,20.53,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.3,50,none,0,852.11,15.99,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.3,50,none,0,719.83,15.15,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.4,10,none,0,1044.27,25.87,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.4,10,none,0,722.43,14.18,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.4,10,none,0,695.83,14.3,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.4,20,none,0,904.99,21.39,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.4,20,none,0,769.35,15.32,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.4,20,none,0,722.74,15.43,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.4,30,none,0,868.45,20.76,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.4,30,none,0,829.37,15.97,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.4,30,none,0,716.18,15.28,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.4,40,none,0,855.67,20.75,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.4,40,none,0,838.28,16.07,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.4,40,none,0,704.6,15.11,results_RN9_adv_none.csv
