train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote10ProPink,0.5,50,none,1,744.3,15.39
RedmiNote9,RedmiNote9,0.6,10,none,1,902.79,20.99
RedmiNote9,RedmiNote10ProBlue,0.6,10,none,1,832.66,15.96
RedmiNote9,RedmiNote10ProPink,0.6,10,none,1,772.68,15.85
RedmiNote9,RedmiNote9,0.6,20,none,1,817.88,19.71
RedmiNote9,RedmiNote10ProBlue,0.6,20,none,1,887.63,16.42
RedmiNote9,RedmiNote10ProPink,0.6,20,none,1,751.8,15.54
RedmiNote9,RedmiNote9,0.6,30,none,1,796.51,19.54
RedmiNote9,RedmiNote10ProBlue,0.6,30,none,1,884.62,16.36
RedmiNote9,RedmiNote10ProPink,0.6,30,none,1,740.62,15.37
RedmiNote9,RedmiNote9,0.6,40,none,1,797.34,19.39
RedmiNote9,RedmiNote10ProBlue,0.6,40,none,1,952.76,17.07
RedmiNote9,RedmiNote10ProPink,0.6,40,none,1,780.85,15.75
RedmiNote9,RedmiNote9,0.6,50,none,1,792.1,19.42
RedmiNote9,RedmiNote10ProBlue,0.6,50,none,1,930.47,16.86
RedmiNote9,RedmiNote10ProPink,0.6,50,none,1,759.79,15.54
RedmiNote9,RedmiNote9,0.7,10,none,1,877.49,20.65
RedmiNote9,RedmiNote10ProBlue,0.7,10,none,1,826.82,15.83
RedmiNote9,RedmiNote10ProPink,0.7,10,none,1,748.42,15.52
RedmiNote9,RedmiNote9,0.7,20,none,1,806.04,19.48
RedmiNote9,RedmiNote10ProBlue,0.7,20,none,1,893.17,16.48
RedmiNote9,RedmiNote10ProPink,0.7,20,none,1,739.79,15.37
RedmiNote9,RedmiNote9,0.7,30,none,1,803.93,19.22
RedmiNote9,RedmiNote10ProBlue,0.7,30,none,1,961.41,17.22
RedmiNote9,RedmiNote10ProPink,0.7,30,none,1,780.32,15.79
RedmiNote9,RedmiNote9,0.7,40,none,1,789.13,19.24
RedmiNote9,RedmiNote10ProBlue,0.7,40,none,1,931.55,16.82
RedmiNote9,RedmiNote10ProPink,0.7,40,none,1,760.65,15.48
RedmiNote9,RedmiNote9,0.7,50,none,1,794.79,19.17
RedmiNote9,RedmiNote10ProBlue,0.7,50,none,1,948.51,16.97
RedmiNote9,RedmiNote10ProPink,0.7,50,none,1,768.4,15.56
RedmiNote9,RedmiNote9,0.8,10,none,1,859.63,20.53
