timestamp,sample_ms,batt_current_mA,batt_voltage_V,batt_charge_uAh,batt_soc_pct,batt_temp_C,cpu_temp_C,display_on,display_brightness_lin,core0_idle_ms,core1_idle_ms,core2_idle_ms,core3_idle_ms,core4_idle_ms,core5_idle_ms,core6_idle_ms,core7_idle_ms,cluster0_300000_ms,cluster0_576000_ms,cluster0_768000_ms,cluster0_1017600_ms,cluster0_1248000_ms,cluster0_1324800_ms,cluster0_1497600_ms,cluster0_1612800_ms,cluster0_1708800_ms,cluster0_1804800_ms,cluster1_300000_ms,cluster1_652800_ms,cluster1_806400_ms,cluster1_979200_ms,cluster1_1094400_ms,cluster1_1209600_ms,cluster1_1324800_ms,cluster1_1555200_ms,cluster1_1708800_ms,cluster1_1843200_ms,cluster1_1939200_ms,cluster1_2169600_ms,cluster1_2208000_ms,cluster1_2304000_ms,brightness_pct,cpu_load_pct
2025-05-26 00:13:46,2000,1171.57,4.252,4469010,90,34.0,73.4,1,0.531,511,508,504,495,529,559,479,491,0,390,0,0,20,110,0,20,0,1480,0,410,0,0,0,0,20,20,0,10,0,0,0,1560,,
2025-05-26 00:04:10,2000,1044.617,4.194,4616340,92,33.7,78.9,1,0.217,2,11,1,2,11,2,1,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,,
2025-05-26 02:01:20,2000,986.023,3.936,3339480,69,34.9,64.0,1,0.047,991,998,1004,993,1049,1060,980,990,0,860,0,0,20,0,0,20,0,1130,0,880,0,0,0,0,20,20,0,0,10,0,0,1100,,
2025-05-26 02:14:53,2000,1125.183,3.91,3192150,65,34.4,68.3,1,0.217,979,998,989,990,1028,1022,979,998,0,890,0,0,60,0,20,0,0,1060,0,970,0,0,0,0,0,0,0,0,0,0,0,1060,,
2025-05-26 00:40:45,2000,97.961,4.143,4174350,85,34.7,44.0,1,4e-05,1567,1541,1521,1531,1527,1534,1720,1598,0,1420,0,0,40,0,0,20,0,610,0,1440,0,0,0,20,20,0,0,0,0,0,0,600,,
2025-05-25 23:41:52,2000,189.819,4.344,4812780,98,30.5,35.2,1,0.047,1729,2000,2000,2000,0,0,1960,1362,0,2040,0,0,0,40,0,0,0,0,0,2070,0,20,0,0,0,0,0,0,0,0,0,0,,
2025-05-26 02:16:04,2000,311.279,3.885,3192150,65,34.9,53.0,1,0.217,578,583,568,572,548,549,378,211,0,510,0,0,40,0,0,20,0,1520,0,540,0,20,10,0,20,0,0,0,0,0,0,1510,,
2025-05-26 00:26:43,2000,1155.701,4.13,4272570,86,37.2,67.0,1,1.0,500,500,500,504,512,516,500,501,0,480,0,0,20,0,0,0,10,1520,0,500,0,0,0,0,10,0,0,10,1500,0,0,0,,
2025-05-26 02:06:59,2000,1058.045,3.921,3290370,67,33.8,81.5,1,0.047,0,3,1,2,1,12,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,,
2025-05-26 00:21:40,2000,1236.878,4.22,4370790,88,36.6,57.6,1,1.0,1491,1485,1489,1493,1521,1569,1480,1498,0,1430,0,0,20,0,0,20,0,550,0,1450,0,0,0,0,20,20,0,10,0,0,0,520,,
2025-05-26 01:13:33,2000,475.464,4.034,3879690,78,36.0,41.4,1,0.531,2000,2000,2000,2000,0,0,2000,2000,0,2070,0,0,0,0,0,0,0,0,0,2010,40,20,0,0,0,0,0,0,0,0,0,0,,
2025-05-26 01:19:49,2000,1204.224,4.107,3781470,77,34.4,63.7,1,0.531,990,996,990,1001,1034,1034,992,981,0,960,40,0,20,0,0,0,0,1010,0,960,10,0,0,0,20,0,0,0,0,0,0,1040,,
2025-05-26 02:00:39,2000,924.378,3.936,3339480,69,34.9,56.9,1,0.047,981,978,1006,992,1038,1067,975,987,0,790,0,0,20,0,0,20,0,1200,0,810,0,0,0,0,20,20,0,10,0,0,0,1170,,
2025-05-26 00:12:30,2000,1134.034,4.252,4518120,90,34.0,64.7,1,0.531,990,998,992,996,1041,1041,992,991,0,770,0,0,50,0,0,0,0,1200,0,800,0,0,0,0,20,0,0,0,0,0,0,1200,,
2025-05-25 23:38:32,2000,811.768,4.286,4861890,99,28.5,67.3,1,4e-05,500,495,496,489,524,519,487,490,0,460,20,0,20,0,0,0,0,1520,0,490,0,0,0,0,20,0,0,0,0,0,0,1510,,
2025-05-26 00:28:00,2000,1163.33,4.13,4272570,86,37.2,72.8,1,1.0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,,
2025-05-26 00:45:39,2000,900.269,4.198,4174350,84,32.4,71.5,1,4e-05,500,512,494,519,560,533,491,482,0,460,0,0,20,0,0,20,0,1520,0,480,0,0,0,0,20,30,0,0,10,0,0,1490,,
2025-05-26 02:34:33,2000,1341.553,3.883,2946600,60,38.9,62.4,1,1.0,1466,1485,1473,1494,1563,1519,1456,1486,0,1400,20,0,80,0,0,20,0,510,0,1460,0,0,0,0,20,20,0,0,10,0,10,510,,
2025-05-26 00:45:21,2000,834.351,4.138,4174350,84,32.0,71.2,1,4e-05,499,503,489,504,551,527,480,490,0,450,0,0,70,0,0,20,0,1480,0,470,0,0,0,0,20,0,0,0,0,0,0,1530,,
2025-05-26 01:11:12,2000,1078.186,4.125,3879690,79,33.9,80.2,1,0.217,1,1,2,1,12,1,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,,
2025-05-25 23:31:18,2000,114.135,4.427,4911000,100,28.5,30.4,1,4e-05,2000,1974,2000,2000,0,0,2000,2000,0,1990,0,0,20,0,20,20,0,20,0,1990,0,20,20,0,0,0,0,0,0,0,0,40,,
2025-05-26 00:58:19,2000,231.933,4.189,4027020,82,32.1,56.3,1,0.047,502,514,521,511,551,548,472,494,0,80,400,0,60,0,0,20,0,1480,0,120,0,0,0,0,10,0,20,0,0,0,0,1890,,
2025-05-26 02:40:44,2000,1271.973,3.845,2848380,58,39.4,68.6,1,1.0,498,495,519,504,535,537,497,495,0,80,0,0,20,0,0,0,0,1940,0,110,0,0,0,0,0,0,10,910,1010,0,0,0,,
2025-05-26 00:58:11,2000,322.571,4.189,4027020,82,32.1,54.7,1,0.047,563,544,558,555,683,692,541,518,0,320,230,0,20,0,20,0,0,1480,0,290,0,20,40,0,10,0,0,0,0,0,0,1700,,
2025-05-26 01:13:16,2000,431.213,4.034,3879690,78,36.0,46.6,1,0.531,1916,1952,1859,2000,0,0,2000,2000,0,1710,80,0,70,0,20,40,0,150,0,1980,20,40,0,0,0,0,10,0,0,0,0,20,,
2025-05-26 01:20:25,2000,1165.161,4.107,3781470,77,34.4,70.8,1,0.531,490,509,500,500,535,529,489,497,0,440,0,0,20,0,0,0,0,1560,0,470,0,0,0,0,0,0,0,0,0,0,0,1550,,
2025-05-26 01:03:53,2000,321.35,4.08,3977910,81,33.6,42.4,1,0.217,1552,1556,1561,1546,1607,1558,1467,1544,0,1310,200,0,40,0,10,20,0,490,0,1350,0,20,0,0,20,0,0,0,0,0,0,680,,
2025-05-26 02:05:00,2000,1026.306,3.923,3290370,67,33.4,68.6,1,0.047,493,484,496,509,542,543,491,491,0,470,0,0,20,0,0,0,0,1540,0,470,10,0,0,0,20,0,0,0,0,0,0,1520,,
2025-05-26 00:38:08,2000,213.012,4.143,4223460,85,34.7,35.2,1,4e-05,1976,2000,2000,1983,0,0,2000,1978,0,1970,20,0,60,0,20,20,0,0,0,2040,0,0,0,0,40,0,0,0,0,0,0,0,,
