train_device,test_device,fraction,epochs,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.4,30,887.28,20.99
RedmiNote9,RedmiNote10ProBlue,0.4,40,805.94,15.74
RedmiNote9,RedmiNote10ProPink,0.4,40,712.57,15.28
RedmiNote9,RedmiNote9,0.4,40,875.97,20.94
RedmiNote9,RedmiNote10ProBlue,0.4,50,799.44,15.67
RedmiNote9,RedmiNote10ProPink,0.4,50,722.97,15.41
RedmiNote9,RedmiNote9,0.4,50,886.86,21.1
RedmiNote9,RedmiNote10ProBlue,0.4,100,821.93,15.82
RedmiNote9,RedmiNote10ProPink,0.4,100,713.37,15.21
RedmiNote9,RedmiNote9,0.4,100,875.62,20.73
RedmiNote9,RedmiNote10ProBlue,0.4,200,837.06,16.08
RedmiNote9,RedmiNote10ProPink,0.4,200,714.52,15.25
RedmiNote9,RedmiNote9,0.4,200,864.51,20.7
RedmiNote9,RedmiNote10ProBlue,0.5,5,857.07,15.85
RedmiNote9,RedmiNote10ProPink,0.5,5,736.79,14.53
RedmiNote9,RedmiNote9,0.5,5,1176.64,29.35
RedmiNote9,RedmiNote10ProBlue,0.5,10,726.0,14.15
RedmiNote9,RedmiNote10ProPink,0.5,10,686.77,14.17
RedmiNote9,RedmiNote9,0.5,10,1029.85,25.57
RedmiNote9,RedmiNote10ProBlue,0.5,20,769.88,15.17
RedmiNote9,RedmiNote10ProPink,0.5,20,713.93,15.18
RedmiNote9,RedmiNote9,0.5,20,902.88,21.08
RedmiNote9,RedmiNote10ProBlue,0.5,30,784.11,15.25
RedmiNote9,RedmiNote10ProPink,0.5,30,714.35,15.13
RedmiNote9,RedmiNote9,0.5,30,904.44,21.06
RedmiNote9,RedmiNote10ProBlue,0.5,40,857.64,16.15
RedmiNote9,RedmiNote10ProPink,0.5,40,717.55,15.16
RedmiNote9,RedmiNote9,0.5,40,865.52,20.43
RedmiNote9,RedmiNote10ProBlue,0.5,50,747.56,14.78
RedmiNote9,RedmiNote10ProPink,0.5,50,708.4,14.99
RedmiNote9,RedmiNote9,0.5,50,924.48,21.52
RedmiNote9,RedmiNote10ProBlue,0.5,100,890.96,16.39
RedmiNote9,RedmiNote10ProPink,0.5,100,722.0,15.13
RedmiNote9,RedmiNote9,0.5,100,866.8,19.98
RedmiNote9,RedmiNote10ProBlue,0.5,200,894.37,16.61
RedmiNote9,RedmiNote10ProPink,0.5,200,724.27,15.25
RedmiNote9,RedmiNote9,0.5,200,845.31,20.34
RedmiNote9,RedmiNote10ProBlue,0.6,5,799.12,14.83
RedmiNote9,RedmiNote10ProPink,0.6,5,721.45,14.28
RedmiNote9,RedmiNote9,0.6,5,1108.34,26.96
RedmiNote9,RedmiNote10ProBlue,0.6,10,745.22,14.7
RedmiNote9,RedmiNote10ProPink,0.6,10,728.48,15.25
RedmiNote9,RedmiNote9,0.6,10,939.85,21.91
RedmiNote9,RedmiNote10ProBlue,0.6,20,836.45,15.98
RedmiNote9,RedmiNote10ProPink,0.6,20,719.13,15.27
RedmiNote9,RedmiNote9,0.6,20,869.79,20.74
RedmiNote9,RedmiNote10ProBlue,0.6,30,877.29,16.27
RedmiNote9,RedmiNote10ProPink,0.6,30,723.93,15.19
RedmiNote9,RedmiNote9,0.6,30,846.31,20.28
RedmiNote9,RedmiNote10ProBlue,0.6,40,914.4,16.73
RedmiNote9,RedmiNote10ProPink,0.6,40,738.89,15.36
RedmiNote9,RedmiNote9,0.6,40,831.18,20.18
RedmiNote9,RedmiNote10ProBlue,0.6,50,917.28,16.71
RedmiNote9,RedmiNote10ProPink,0.6,50,739.66,15.35
RedmiNote9,RedmiNote9,0.6,50,820.94,19.96
RedmiNote9,RedmiNote10ProBlue,0.6,100,911.94,16.75
RedmiNote9,RedmiNote10ProPink,0.6,100,740.91,15.44
RedmiNote9,RedmiNote9,0.6,100,828.0,20.11
RedmiNote9,RedmiNote10ProBlue,0.6,200,955.35,17.12
RedmiNote9,RedmiNote10ProPink,0.6,200,759.86,15.56
RedmiNote9,RedmiNote9,0.6,200,805.98,19.69
RedmiNote9,RedmiNote10ProBlue,0.7,5,796.11,14.78
RedmiNote9,RedmiNote10ProPink,0.7,5,737.26,14.63
RedmiNote9,RedmiNote9,0.7,5,1061.26,25.3
RedmiNote9,RedmiNote10ProBlue,0.7,10,769.29,15.14
RedmiNote9,RedmiNote10ProPink,0.7,10,728.51,15.41
RedmiNote9,RedmiNote9,0.7,10,916.77,21.33
RedmiNote9,RedmiNote10ProBlue,0.7,20,872.41,16.25
RedmiNote9,RedmiNote10ProPink,0.7,20,729.63,15.3
RedmiNote9,RedmiNote9,0.7,20,858.24,20.38
RedmiNote9,RedmiNote10ProBlue,0.7,30,907.42,16.5
RedmiNote9,RedmiNote10ProPink,0.7,30,734.34,15.23
RedmiNote9,RedmiNote9,0.7,30,834.74,20.08
RedmiNote9,RedmiNote10ProBlue,0.7,40,896.95,16.44
RedmiNote9,RedmiNote10ProPink,0.7,40,731.51,15.25
RedmiNote9,RedmiNote9,0.7,40,837.44,20.17
RedmiNote9,RedmiNote10ProBlue,0.7,50,909.27,16.6
RedmiNote9,RedmiNote10ProPink,0.7,50,737.54,15.33
RedmiNote9,RedmiNote9,0.7,50,833.59,20.05
RedmiNote9,RedmiNote10ProBlue,0.7,100,918.72,16.68
RedmiNote9,RedmiNote10ProPink,0.7,100,737.83,15.31
RedmiNote9,RedmiNote9,0.7,100,830.42,19.98
RedmiNote9,RedmiNote10ProBlue,0.7,200,941.45,16.82
RedmiNote9,RedmiNote10ProPink,0.7,200,755.01,15.42
RedmiNote9,RedmiNote9,0.7,200,815.58,19.73
RedmiNote9,RedmiNote10ProBlue,0.8,5,767.38,14.57
RedmiNote9,RedmiNote10ProPink,0.8,5,727.56,14.68
RedmiNote9,RedmiNote9,0.8,5,1030.34,24.71
RedmiNote9,RedmiNote10ProBlue,0.8,10,792.26,15.44
